#Channel_number,Time,Counts
948,15.889265536723162,9.0
949,15.906026365348398,6.0
950,15.922787193973633,6.0
951,15.939548022598869,5.0
952,15.956308851224104,11.0
953,15.97306967984934,3.0
954,15.989830508474576,4.0
955,16.00659133709981,4.0
956,16.023352165725047,7.0
957,16.04011299435028,4.0
958,16.05687382297552,3.0
959,16.073634651600752,5.0
960,16.090395480225986,10.0
961,16.107156308851224,3.0
962,16.123917137476457,7.0
963,16.140677966101695,10.0
964,16.15743879472693,8.0
965,16.174199623352166,8.0
966,16.1909604519774,5.0
967,16.207721280602634,2.0
968,16.22448210922787,4.0
969,16.241242937853105,9.0
970,16.258003766478343,5.0
971,16.274764595103576,2.0
972,16.291525423728814,5.0
973,16.308286252354048,10.0
974,16.32504708097928,5.0
975,16.34180790960452,7.0
976,16.358568738229753,4.0
977,16.37532956685499,3.0
978,16.392090395480224,5.0
979,16.40885122410546,4.0
980,16.425612052730695,7.0
981,16.44237288135593,0.0
982,16.459133709981167,1.0
983,16.4758945386064,6.0
984,16.492655367231638,8.0
985,16.509416195856872,2.0
986,16.52617702448211,3.0
987,16.542937853107343,8.0
988,16.559698681732577,2.0
989,16.576459510357815,7.0
990,16.59322033898305,6.0
991,16.609981167608286,5.0
992,16.62674199623352,11.0
993,16.643502824858757,7.0
994,16.66026365348399,12.0
995,16.677024482109225,6.0
996,16.693785310734462,5.0
997,16.710546139359696,4.0
998,16.727306967984934,6.0
999,16.744067796610167,6.0
1000,16.760828625235405,5.0
1001,16.77758945386064,5.0
1002,16.794350282485876,5.0
1003,16.81111111111111,10.0
1004,16.827871939736344,6.0
1005,16.84463276836158,7.0
1006,16.861393596986815,7.0
1007,16.878154425612053,4.0
1008,16.894915254237286,3.0
1009,16.911676082862524,5.0
1010,16.928436911487758,4.0
1011,16.94519774011299,6.0
1012,16.96195856873823,9.0
1013,16.978719397363463,3.0
1014,16.9954802259887,8.0
1015,17.012241054613934,7.0
1016,17.02900188323917,6.0
1017,17.045762711864406,5.0
1018,17.06252354048964,6.0
1019,17.079284369114877,4.0
1020,17.09604519774011,5.0
1021,17.112806026365348,7.0
